ip_core,access,address_raw,address_value,byte_offset,address_scale,name,description,notes,source_workbook,source_sheet,source_row
ADS1258,write,0x1,1,4,4,"错误计数清除寄存器(32位,下同)","低8位有效，高24位无效；
当写数据8'hFF时，清除错误计数（包括超时计数、通道号错误计数、无新数据计数、供电异常计数、采集溢出计数），写其他无效",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,3
ADS1258,write,0x2,2,8,4,芯片写命令配置,"低8位有效，高24位无效；
D3-D0：A[3:0]=0000 从地址 00h 开始；
D4：MUL=1 连续写；MUL=0 不连续写；
D7-D5：C[2:0]=011 写寄存器；
默认值为8'h70。",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,4
ADS1258,write,0x3,3,12,4,芯片CONFIG0寄存器配置,"低8位有效，高24位无效；
1.D0：保留，始终为 0；
2.D1：STAT，0 = SPI 读取仅输出 24 位 DATA；1 = SPI 读取输出 32 位（8 位 STATUS + 24 位 DATA）；本设计设为 1；
3.D2：CHOP，0 = 不使用外部斩波；1 = 使用外部斩波；本设计设为 0；
4.D3：CLKENB，0 = 不输出 CLKIO 时钟；1 = 输出 CLKIO 时钟（仅 CLKSEL=1 时有效）；本设计设为 0；
5.D4：BYPAS，0 = 正常 ADC 转换模式；1 = 旁路 ADC 内部电路；本设计设为 0；
6.D5：MUXMOD，0 = AutoScan 模式（自动循环扫描）；1 = FixedChannel 模式（固定单通道）；本设计设为 0；
7.D6：SPIRST，0 = SCLK 最大频率 = fCLK/4096（保守模式）；1 = SCLK 最大频率 = fCLK/256（快速模式）。但实际 SCLK 上限仍为 fCLK/2 = 8MHz。本设计设为 0；
8.D7：保留，始终为 0；
默认值为8'h02。",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,5
ADS1258,write,0x4,4,16,4,芯片CONFIG1寄存器配置,"低8位有效，高24位无效；
1.D1-D0：采样率DRATE，每秒采样次数；2'b11：23739 SPS；2'b10：15123 SPS；2'b01：6168 SPS；2'b00：1831 SPS；本设计设为10；
2.D3-D2：SBCS[1:0]=00：传感器偏置电流关闭；可选：00=关闭, 01=1.5uA, 10=12uA, 11=24uA；本设计设为00；
3.D6-D4： DLY[2:0]=000：MUX 到 ADC 的切换延时 = 0*128/fCLK = 0us；本设计设为000；
4.D7：IDLMOD 0：Idle 模式为 Standby（唤醒快）；1：Idle 模式为 Sleep（功耗更低）；本设计设为 1；
默认值为8'h82。",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,6
ADS1258,write,0x5,5,20,4,芯片MUXSCH寄存器配置,"D7-D0: [AINP[3] AINP[2] AINP[1] AINP[0] AINN[3] AINN[2] AINN[1] AINN[0]]
本设计：8'h00；
仅在 FixedChannel 模式下使用。AINP[3:0] 选择 ADC 正极输入通道，AINN[3:0] 选择 ADC 负极输入通道。AutoScan 模式下不使用，写 0x00。",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,7
ADS1258,write,0x6,6,24,4,芯片MUXDIF寄存器配置,"D7-D0: [DIFF[7]  DIFF[6]  DIFF[5]  DIFF[4]  DIFF[3]  DIFF[2]  DIFF[1]  DIFF[0]]
差分通道模式选择；本设计禁用所有差分通道，写入 0x00。",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,8
ADS1258,write,0x7,7,28,4,芯片MUXSG0寄存器配置,"D7-D0: [AIN[7]   AIN[6]   AIN[5]   AIN[4]   AIN[3]   AIN[2]   AIN[1]   AIN[0]]
单端通道模式选择；本设计使能所有单端通道，写入 8'hFF。",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,9
ADS1258,write,0x8,8,32,4,芯片MUXSG1寄存器配置,"D7-D0: [AIN[15]   AIN[14]   AIN[13]   AIN[12]   AIN[11]   AIN[10]   AIN[9]   AIN[8]]
单端通道模式选择；本设计使能所有单端通道，写入 8'hFF。",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,10
ADS1258,write,0x9,9,36,4,芯片SYSRED寄存器配置,"D7-D0: [(保留)  (保留)  REF    GAIN   TEMP   VCC   (保留)  OFFSET]
| bit0 | OFFSET | 0 | 0 = 不读取内部偏移量；1 = AutoScan 中包含 OFFSET 读数 |
| bit1 | 保留 | 0 | 始终为 0 |
| bit2 | VCC | 0 | 0 = 不读取供电电压；1 = AutoScan 中包含 VCC 读数 |
| bit3 | TEMP | 0 | 0 = 不读取温度；1 = AutoScan 中包含 TEMP 读数 |
| bit4 | GAIN | 0 | 0 = 不读取增益；1 = AutoScan 中包含 GAIN 读数 |
| bit5 | REF | 0 | 0 = 不读取参考电压；1 = AutoScan 中包含 REF 读数 |
| bit6 | 保留 | 0 | 始终为 0 |
| bit7 | 保留 | 0 | 始终为 0 |
本设计：8'h3D（全部开启）。",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,11
ADS1258,write,0xA,10,40,4,芯片GPIOC寄存器配置,"D7-D0: [CIO[7] CIO[6] CIO[5] CIO[4] CIO[3] CIO[2] CIO[1] CIO[0]]
| bit0~bit7 | CIO[7:0] | 1 | 0 = 对应 GPIO 为输入；1 = 对应 GPIO 为输出|
本设计将所有 GPIO 配置为输出，写入 0xFF。",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,12
ADS1258,write,0xB,11,44,4,芯片GPIOD寄存器配置,"D7-D0: [DIO[7] DIO[6] DIO[5] DIO[4] DIO[3] DIO[2] DIO[1] DIO[0]]
| bit0~bit7 | DIO[7:0] | 0 | 0 = 对应 GPIO 输出低电平；1 = 对应 GPIO 输出高电平|
本设计 GPIO 输出全 0，写入 0x00。",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,13
ADS1258,write,0xC,12,48,4,芯片工作数量配置,"低8位有效，高24位无效；
可切换为1片或2片进行工作；8'hAA：double AD；8'hBB：AD1；8'hCC or other：AD2。
默认double AD模式；",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,14
ADS1258,write,0xD,13,52,4,芯片时钟选择配置,"低8位有效，高24位无效；
8'hAA：1=外部时钟输入，由FPGA生成外部时钟；
8'hFF：0=内部晶振(PLL)，由晶振生成内部时钟；
其余无效。",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,15
ADS1258,write,0xE,14,56,4,spi时钟分频计数配置,"低8位有效，高24位无效；
spi时钟频率不得大于8MHz；公式：全局时钟频率 / 分频计数 = spi时钟频率；
本设计为32。",,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,16
ADS1258,write,0xF,15,60,4,芯片PWDN上升沿后等待时间计数,默认等待10ms，本设计为32'd1250000。,,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,17
ADS1258,write,0x10,16,64,4,芯片RESET上升沿后等待时间计数,等待 218/fCLK = 13.6us，数字部分复位完成，本设计为32'd1953。,,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,18
ADS1258,write,0x11,17,68,4,芯片RESET低电平持续时间计数,低电平保持至少 2 个 fCLK 周期（125ns）；本设计为32'd16（128ns）。,,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,19
ADS1258,write,0x12,18,72,4,芯片drdy下降沿超时时间计数,本设计为32'd125000，超时时间为1ms。,,ADS1258 IP核通用型地址分配表（公开） .xlsx,Sheet1,20
