ip_core,access,address_raw,address_value,byte_offset,address_scale,name,description,notes,source_workbook,source_sheet,source_row
AD7606_HELM,write,0x9,9,36,4,AD采集使能控制寄存器,"低16位有效，高16位无效；
16'hAAAA：使能AD采集；16'hFFFF：关闭AD采集；写其他无效；",,AD7606_HELM IP核通用型地址分配表（公开） .xlsx,Sheet1,3
AD7606_HELM,write,0xA,10,40,4,采集数据滤波控制寄存器,"低16位有效，高16位无效；
16'hAAAA：开启滤波；16'hFFFF：关闭滤波；写其他无效；
滤波模式：解算周期内采集8次，去除最大、次最大、最小、次最小，取四次平均。",,AD7606_HELM IP核通用型地址分配表（公开） .xlsx,Sheet1,4
AD7606_HELM,write,0xB,11,44,4,AD7606过采样选择寄存器,"低3位有效，高29位无效；
默认000，无过采样。",,AD7606_HELM IP核通用型地址分配表（公开） .xlsx,Sheet1,5
AD7606_HELM,write,0xC,12,48,4,AD7606时钟周期配置,"低8位有效，高24位无效；
本设计默认为24（实际为25）。",,AD7606_HELM IP核通用型地址分配表（公开） .xlsx,Sheet1,6
AD7606_HELM,write,0xD,13,52,4,AD7606转换低电平保持时间配置,"低8位有效，高24位无效；
单位为AD时钟周期，本设计默认为3（实际为4）。",,AD7606_HELM IP核通用型地址分配表（公开） .xlsx,Sheet1,7
AD7606_HELM,write,0xE,14,56,4,AD7606等待转换完成时间配置,"低8位有效，高24位无效；
单位为AD时钟周期，本设计默认为35（实际为36）。",,AD7606_HELM IP核通用型地址分配表（公开） .xlsx,Sheet1,8
AD7606_HELM,write,0xF,15,60,4,AD7606芯片复位时间配置,"低8位有效，高24位无效；
单位为AD时钟周期，本设计默认为5（实际为6）。",,AD7606_HELM IP核通用型地址分配表（公开） .xlsx,Sheet1,9
AD7606_HELM,write,0x10,16,64,4,AD7606使能采集计数配置（解算周期采集8次）,"低16位有效，高16位无效；
本设计默认为3904（实际为3906）；
公式：计数值 = （解算周期 / 采样次数（8次）/ 全局时钟） - 2。",,AD7606_HELM IP核通用型地址分配表（公开） .xlsx,Sheet1,10
AD7606_HELM,write,0x11,17,68,4,AD通道选择配置,"32位有效；
注意：偏移地址0x1的功能为舵1电压反馈值；
      偏移地址0x2的功能为舵2电压反馈值；
      偏移地址0x3的功能为舵3电压反馈值；
      偏移地址0x4的功能为舵4电压反馈值；
      偏移地址0x5的功能为其他电压值；
      偏移地址0x6的功能为其他电压值；
      偏移地址0x7的功能为其他电压值；
      偏移地址0x8的功能为其他电压值；
配置说明：D3-D0：舵1在AD硬件中实际通道；
          D7-D4：舵2在AD硬件中实际通道；
          D11-D8：舵3在AD硬件中实际通道；
          D15-D12：舵4在AD硬件中实际通道；
          D19-D16：其他电压在AD硬件中实际通道；
          D23-D20：其他电压在AD硬件中实际通道；
          D27-D24：其他电压在AD硬件中实际通道；
          D31-D28：其他电压在AD硬件中实际通道；
默认配置为32'h76543210，每4位的十进制值代表AD通道号（0~7）。",,AD7606_HELM IP核通用型地址分配表（公开） .xlsx,Sheet1,11
AD7606_HELM,read,0x0,0,0,4,通信测试,32'hAAAABBBB,,AD7606_HELM IP核通用型地址分配表（公开） .xlsx,Sheet1,12
